x [ft],Axial [lbf],Shear [lbf],Moment [lbf.ft],Deflection [m]
0.044,0,-4.445,-0.099,-0.0
0.045,0,-4.474,-0.1,-0.0
0.045,0,-4.504,-0.101,-0.0
0.045,0,-4.534,-0.103,-0.0
0.046,0,-4.563,-0.104,-0.0
0.046,0,-4.593,-0.105,-0.0
0.046,0,-4.622,-0.107,-0.0
0.047,0,-4.652,-0.108,-0.0
0.047,0,-4.682,-0.11,-0.0
0.047,0,-4.711,-0.111,-0.0
0.047,0,-4.741,-0.112,-0.0
0.048,0,-4.771,-0.114,-0.0
0.048,0,-4.8,-0.115,-0.0
0.048,0,-4.83,-0.117,-0.0
0.049,0,-4.859,-0.118,-0.0
0.049,0,-4.889,-0.12,-0.0
0.049,0,-4.919,-0.121,-0.0
0.049,0,-4.948,-0.122,-0.0
0.05,0,-4.978,-0.124,-0.0
0.05,0,-5.008,-0.125,-0.0
0.05,0,-5.037,-0.127,-0.0
0.051,0,-5.067,-0.128,-0.0
0.051,0,-5.096,-0.13,-0.0
0.051,0,-5.126,-0.131,-0.0
0.052,0,-5.156,-0.133,-0.0
0.052,0,-5.185,-0.134,-0.0
0.052,0,-5.215,-0.136,-0.0
0.052,0,-5.245,-0.138,-0.0
0.053,0,-5.274,-0.139,-0.0
0.053,0,-5.304,-0.141,-0.0
0.053,0,-5.334,-0.142,-0.0
0.054,0,-5.363,-0.144,-0.0
0.054,0,-5.393,-0.145,-0.0
0.054,0,-5.422,-0.147,-0.0
0.055,0,-5.452,-0.149,-0.0
0.055,0,-5.482,-0.15,-0.0
0.055,0,-5.511,-0.152,-0.0
0.055,0,-5.541,-0.154,-0.0
0.056,0,-5.571,-0.155,-0.0
0.056,0,-5.6,-0.157,-0.0
0.056,0,-5.63,-0.158,-0.0
0.057,0,-5.659,-0.16,-0.0
0.057,0,-5.689,-0.162,-0.0
0.057,0,-5.719,-0.164,-0.0
0.057,0,-5.748,-0.165,-0.0
0.058,0,-5.778,-0.167,-0.0
0.058,0,-5.808,-0.169,-0.0
0.058,0,-5.837,-0.17,-0.0
0.059,0,-5.867,-0.172,-0.0
0.059,0,-5.897,-0.174,-0.0
0.059,0,-5.926,-0.176,-0.0
0.06,0,-5.956,-0.177,-0.0
0.06,0,-5.985,-0.179,-0.0
0.06,0,-6.015,-0.181,-0.0
0.06,0,-6.045,-0.183,-0.0
0.061,0,-6.074,-0.184,-0.0
0.061,0,-6.104,-0.186,-0.0
0.061,0,-6.134,-0.188,-0.0
0.062,0,-6.163,-0.19,-0.0
0.062,0,-6.193,-0.192,-0.0
0.062,0,-6.222,-0.194,-0.0
0.063,0,-6.252,-0.195,-0.0
0.063,0,-6.282,-0.197,-0.0
0.063,0,-6.311,-0.199,-0.0
0.063,0,-6.341,-0.201,-0.0
0.064,0,-6.371,-0.203,-0.0
0.064,0,-6.4,-0.205,-0.0
0.064,0,-6.43,-0.207,-0.0
0.065,0,-6.459,-0.209,-0.0
0.065,0,-6.489,-0.211,-0.0
0.065,0,-6.519,-0.212,-0.0
0.065,0,-6.548,-0.214,-0.0
0.066,0,-6.578,-0.216,-0.0
0.066,0,-6.608,-0.218,-0.0
0.066,0,-6.637,-0.22,-0.0
0.067,0,-6.667,-0.222,-0.0
0.067,0,-6.697,-0.224,-0.0
0.067,0,-6.726,-0.226,-0.0
0.068,0,-6.756,-0.228,-0.0
0.068,0,-6.785,-0.23,-0.0
0.068,0,-6.815,-0.232,-0.0
0.068,0,-6.845,-0.234,-0.0
0.069,0,-6.874,-0.236,-0.0
0.069,0,-6.904,-0.238,-0.0
0.069,0,-6.934,-0.24,-0.0
0.07,0,-6.963,-0.242,-0.0
0.07,0,-6.993,-0.244,-0.0
0.07,0,-7.022,-0.247,-0.0
0.071,0,-7.052,-0.249,-0.0
0.071,0,-7.082,-0.251,-0.0
0.071,0,-7.111,-0.253,-0.0
0.071,0,-7.141,-0.255,-0.0
0.072,0,-7.171,-0.257,-0.0
0.072,0,-7.2,-0.259,-0.0
0.072,0,-7.23,-0.261,-0.0
0.073,0,-7.26,-0.264,-0.0
0.073,0,-7.289,-0.266,-0.0
0.073,0,-7.319,-0.268,-0.0
0.073,0,-7.348,-0.27,-0.0
0.074,0,-7.378,-0.272,-0.0
0.074,0,-7.408,-0.274,-0.0
0.074,0,-7.437,-0.277,-0.0
0.075,0,-7.467,-0.279,-0.0
0.075,0,-7.497,-0.281,-0.0
0.075,0,-7.526,-0.283,-0.0
0.076,0,-7.556,-0.285,-0.0
0.076,0,-7.585,-0.288,-0.0
0.076,0,-7.615,-0.29,-0.0
0.076,0,-7.645,-0.292,-0.0
0.077,0,-7.674,-0.294,-0.0
0.077,0,-7.704,-0.297,-0.0
0.077,0,-7.734,-0.299,-0.0
0.078,0,-7.763,-0.301,-0.0
0.078,0,-7.793,-0.304,-0.0
0.078,0,-7.823,-0.306,-0.0
0.079,0,-7.852,-0.308,-0.0
0.079,0,-7.882,-0.311,-0.0
0.079,0,-7.911,-0.313,-0.0
0.079,0,-7.941,-0.315,-0.0
0.08,0,-7.971,-0.318,-0.0
0.08,0,-8.0,-0.32,-0.0
0.08,0,-8.03,-0.322,-0.0
0.081,0,-8.06,-0.325,-0.0
0.081,0,-8.089,-0.327,-0.0
0.081,0,-8.119,-0.33,-0.0
0.081,0,-8.148,-0.332,-0.0
0.082,0,-8.178,-0.334,-0.0
0.082,0,-8.208,-0.337,-0.0
0.082,0,-8.237,-0.339,-0.0
0.083,0,-8.267,-0.342,-0.0
0.083,0,-8.297,-0.344,-0.0
0.083,0,-8.326,-0.347,-0.0
0.084,0,-8.356,-0.349,-0.0
0.084,0,-8.385,-0.352,-0.0
0.084,0,-8.415,-0.354,-0.0
0.084,0,-8.445,-0.357,-0.0
0.085,0,-8.474,-0.359,-0.0
0.085,0,-8.504,-0.362,-0.0
0.085,0,-8.534,-0.364,-0.0
0.086,0,-8.563,-0.367,-0.0
0.086,0,-8.593,-0.369,-0.0
0.086,0,-8.623,-0.372,-0.0
